"동일과목
(학수번호 및 분반)",순위,교수명,강의명,요일(월=1~금=5),강의시간,"인원수 
(교수요청, 안받을시 0)",단과대학,학과,수업유형,기자재
0,0,김도년,플밍,1,1630-1800,30,소프트웨어융합대학,컴퓨터공학과,1,0
0,0,김도년,플밍,3,1630-1800,30,소프트웨어융합대학,컴퓨터공학과,1,0
0,0,김도년,플밍,3,1800-2000,30,소프트웨어융합대학,컴퓨터공학과,2,1
0,1,김도년,플밍,1,1200-1330,30,소프트웨어융합대학,컴퓨터공학과,1,0
0,1,김도년,플밍,3,1200-1330,30,소프트웨어융합대학,컴퓨터공학과,1,0
0,1,김도년,플밍,3,1800-2000,30,소프트웨어융합대학,컴퓨터공학과,2,1
0,2,김도년,플밍,2,1630-1800,30,소프트웨어융합대학,컴퓨터공학과,1,0
0,2,김도년,플밍,4,1630-1800,30,소프트웨어융합대학,컴퓨터공학과,1,0
0,2,김도년,플밍,4,1800-2000,30,소프트웨어융합대학,컴퓨터공학과,2,1
1,0,한동일,문제해결및실습:JAVA,1,1500-1630,40,소프트웨어융합대학,소프트웨어학과,1,0
1,0,한동일,문제해결및실습:JAVA,3,1500-1630,40,소프트웨어융합대학,소프트웨어학과,1,0
1,0,한동일,문제해결및실습:JAVA,3,1800-2000,40,소프트웨어융합대학,소프트웨어학과,2,0
1,1,한동일,문제해결및실습:JAVA,2,1500-1630,40,소프트웨어융합대학,소프트웨어학과,1,0
1,1,한동일,문제해결및실습:JAVA,4,1500-1630,40,소프트웨어융합대학,소프트웨어학과,1,0
1,1,한동일,문제해결및실습:JAVA,4,1800-2000,40,소프트웨어융합대학,소프트웨어학과,2,0
1,2,한동일,문제해결및실습:JAVA,2,1200-1330,40,소프트웨어융합대학,소프트웨어학과,1,0
1,2,한동일,문제해결및실습:JAVA,4,1200-1330,40,소프트웨어융합대학,소프트웨어학과,1,0
1,2,한동일,문제해결및실습:JAVA,4,1800-2000,40,소프트웨어융합대학,소프트웨어학과,2,0
2,0,장철호,와인과소물리에론,2,1330-1500,0,호텔관광외식경대학,외식경영학부,1,0
2,1,장철호,와인과소물리에론,3,1330-1500,0,호텔관광외식경대학,외식경영학부,1,0
2,2,장철호,와인과소물리에론,1,1330-1500,0,호텔관광외식경대학,외식경영학부,1,0
3,0,권정순,우리차문화의이해,1,1000-1200,45,대양휴머니티칼리지,대양휴머니티칼리지,1,0
3,1,권정순,우리차문화의이해,2,1300-1500,45,대양휴머니티칼리지,대양휴머니티칼리지,1,0
3,2,권정순,우리차문화의이해,3,1300-1500,45,대양휴머니티칼리지,대양휴머니티칼리지,1,0
4,0,이광수,공학설계기초,2,1330-1550,0,소프트웨어융합대학,정보보호학과,1,0
4,1,이광수,공학설계기초,3,1100-1330,0,소프트웨어융합대학,정보보호학과,1,0
4,2,이광수,공학설계기초,4,1200-1330,0,소프트웨어융합대학,정보보호학과,1,0
5,0,강덕모,웰빙레저스포츠,4,1500-1800,30,예체능대학,체육학과,1,2
5,1,강덕모,웰빙레저스포츠,4,1330-1530,30,예체능대학,체육학과,1,2
5,2,강덕모,웰빙레저스포츠,4,1100-1300,30,예체능대학,체육학과,1,2
6,0,박상식,공업수학1,3,1330-1530,50,전자정보통신대학,전자정보통신학과,1,0
6,1,박상식,공업수학1,4,1230-1430,50,전자정보통신대학,전자정보통신학과,1,0
6,2,박상식,공업수학1,4,1430-1630,50,전자정보통신대학,전자정보통신학과,1,0
